"Follow-up","Measure","SubMeasure","White_Y1975","Black_Y1999","White_Y2015"
"10","Cumulative breast cancer mortality","","","",""
"","","No screening","43 (43,43)","30 (27,33)","22 (21,23)"
"","","Screening","41 (40,42)","29 (27,31)","21 (20,22)"
"","MRRs within trials","","0.95 (0.93,0.98)","0.97 (0.94,1.00)","0.95 (0.95,0.96)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.70 (0.63,0.76)","0.51 (0.49,0.53)"
"","","Screening","0.95 (0.93,0.98)","0.67 (0.63,0.72)","0.49 (0.47,0.51)"
"","ARRs within trials","","2.0 (1.0,3.0)","1.0 (0.0,2.0)","1.0 (1.0,1.0)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","13.0 (10.1,15.9)","21.0 (20.0,22.0)"
"","","Screening"," 2.0 ( 1.0, 3.0)","14.0 (12.1,15.9)","22.0 (21.1,22.9)"
"25","Cumulative breast cancer mortality","","","",""
"","","No screening","226 (209,244)","176 (163,188)","152 (144,160)"
"","","Screening","210 (196,225)","166 (154,177)","140 (134,147)"
"","MRRs within trials","","0.93 (0.92,0.94)","0.94 (0.94,0.94)","0.92 (0.92,0.93)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.78 (0.77,0.78)","0.67 (0.65,0.69)"
"","","Screening","0.93 (0.92,0.94)","0.73 (0.73,0.74)","0.62 (0.60,0.64)"
"","ARRs within trials","","16.0 (13.2,18.9)","10.0 ( 9.0,11.0)","11.5 (10.1,12.9)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","51.0 (46.2,55.8)","74.5 (64.5,84.5)"
"","","Screening","16.0 (13.2,18.9)","61.0 (55.3,66.7)","86.0 (74.6,97.4)"
